exchange,symbol,date,increase,retracement
binance,ARNBTC,2019-09-07,0.5596,0.7893
binance,ARPABTC,2025-01-31,0.525,1.2857
binance,ARPAUSDT,2025-10-11,0.6155,0.7612
binance,ASRBTC,2022-02-23,0.9576,0.7578
binance,ASRUSDT,2025-07-09,1.8768,0.3401
binance,ASTBTC,2023-10-26,0.5155,0.9549
binance,ASTUSDT,2024-08-05,0.5307,0.3664
binance,ASTERUSDT,2025-10-06,1.0,1.364
binance,ASTRUSDT,2025-10-01,0.5007,1.3255
binance,ATUSDT,2025-11-27,0.83,1.694
binance,ATABTC,2024-11-21,0.5979,0.6552
binance,ATAUSDT,2026-03-31,0.5,0.6977
binance,ATMBTC,2022-05-07,1.4202,0.9524
binance,ATMUSDT,2025-07-10,1.1156,0.5777
binance,AUCTIONBTC,2025-02-04,0.5497,0.322
binance,AUCTIONUSDT,2025-06-25,0.5792,0.5356
binance,AUDUSDT,2023-05-09,0.5289,0.8669
binance,AUDIOBTC,2025-03-07,0.5165,0.9574
binance,AUDIOUSDT,2026-03-30,0.9501,0.8104
binance,AUTOBTC,2022-05-10,0.5229,1.7772
binance,AUTOUSDT,2022-05-10,0.5258,1.8264
binance,AVABTC,2025-10-11,0.8134,0.8009
binance,AVAUSDT,2025-10-11,0.821,0.7981
binance,AVNTUSDT,2025-09-15,2.3075,0.8298
binance,AWEBTC,2025-06-14,0.74,0.8378
binance,AWEUSDT,2025-06-14,0.7492,0.7871
binance,AXLBTC,2025-05-23,0.6619,0.5931
binance,AXLUSDT,2025-05-23,0.6469,0.6317
binance,AXSBTC,2025-12-27,0.5262,0.6375
binance,AXSUSDT,2025-12-27,0.6691,0.5414
binance,BABYUSDT,2025-07-09,0.5215,0.5577
binance,BADGERBTC,2024-12-20,0.5115,0.4488
binance,BALBTC,2024-08-31,0.5048,1.1006
binance,BANANABTC,2025-03-04,0.8462,0.3362
binance,BANANAUSDT,2025-06-26,0.5745,0.4381
binance,BANANAS31USDT,2025-06-08,1.9896,0.8051
binance,BANDBTC,2025-08-04,1.0283,0.3322
binance,BANDUSDT,2025-08-04,1.0969,0.3205
binance,BANKUSDT,2025-12-16,0.5277,0.705
binance,BARBTC,2022-05-07,0.6959,0.9364
binance,BARDUSDT,2025-09-18,2.8395,0.6671
binance,BATBTC,2025-09-25,0.6385,0.4337
binance,BATUSDT,2025-09-25,0.6597,0.4594
binance,BBBTC,2025-05-04,0.5323,0.6061
binance,BBUSDT,2025-06-23,0.6341,0.5359
binance,BCCBTC,2017-11-17,0.9412,1.1478
binance,BCCUSDT,2017-11-17,0.9614,0.5262
binance,BCHABCBTC,2018-12-06,0.6048,0.5162
binance,BCHABCUSDT,2018-12-05,0.5425,0.6286
binance,BCHDOWNUSDT,2021-04-17,0.9602,1.886
binance,BCHUPUSDT,2020-10-28,1.099,0.9873
binance,BCNBTC,2018-05-08,32.3333,1.0225
binance,BCPTBTC,2020-02-12,0.7279,1.1111
binance,BEAMBTC,2021-11-29,1.1475,0.9422
binance,BEAMUSDT,2022-01-27,0.5544,0.8055
binance,BEARUSDT,2020-01-17,2.8315,1.0813
binance,BELBTC,2025-01-31,0.7813,0.6501
binance,BELUSDT,2025-06-23,0.5034,0.3461
binance,BERABTC,2025-02-11,1.0395,0.3487
binance,BETABTC,2024-03-21,0.5038,0.9697
binance,BETAUSDT,2024-06-10,0.871,0.4633
binance,BICOUSDT,2026-04-13,0.5896,0.704
binance,BIFIUSDT,2025-05-27,0.5124,1.2908
binance,BIOUSDT,2025-06-23,0.5326,0.3165
binance,BKRWUSDT,2020-07-06,1.0123,1.0098
binance,BLURUSDT,2025-07-03,0.768,0.3728
binance,BLZUSDT,2024-01-31,0.5125,0.4693
binance,BNBBEARUSDT,2020-03-11,3.9762,1.15
binance,BNBBULLUSDT,2020-03-11,3.456,1.2721
binance,BNBUPUSDT,2023-12-10,1.0607,0.357
binance,BNTBTC,2023-09-22,0.6664,0.682
binance,BNTUSDT,2026-04-01,0.6225,0.8825
binance,BNXBTC,2024-02-22,0.8541,0.3945
binance,BNXUSDT,2024-04-01,0.5056,0.4525
binance,BOMEBTC,2024-03-16,3.0909,0.8529
binance,BOMEUSDT,2025-06-23,0.5499,0.3394
binance,BONDBTC,2023-09-27,1.9109,0.6523
binance,BONDUSDT,2023-09-27,1.9657,0.5876
binance,BONKUSDT,2025-06-20,0.6823,0.3022
binance,BOTBTC,2020-11-05,0.5132,1.1601
binance,BQXBTC,2020-09-06,0.5792,1.0205
binance,BRDBTC,2021-08-12,1.2622,1.0204
binance,BREVUSDT,2026-01-06,6.9467,0.7303
binance,BROCCOLI714USDT,2025-06-12,0.5285,0.4939
binance,BSVBTC,2018-11-16,1.3317,0.637
binance,BSVUSDT,2018-11-16,0.9277,1.5481
binance,BSWUSDT,2024-08-06,1.6536,0.4525
binance,BTCSTBTC,2022-02-12,0.5645,0.8246
binance,BTCSTUSDT,2022-02-11,0.5057,0.8663
binance,BTGBTC,2022-03-05,0.5072,0.3876
binance,BTSBTC,2022-06-07,0.525,0.6667
binance,BTSUSDT,2023-01-10,0.8096,0.6277
binance,BTTBTC,2019-01-31,3.1111,0.5
binance,BTTUSDT,2021-01-22,5.0642,0.533
binance,BURGERUSDT,2024-05-19,1.0972,0.5602
binance,BZRXUSDT,2020-12-24,0.5327,0.8212
binance,CUSDT,2025-07-18,3.902,0.8335
binance,C98BTC,2024-02-08,0.5449,0.4845
binance,CAKEBTC,2025-09-20,0.6168,0.4903
binance,CAKEUSDT,2025-09-16,0.5248,0.3972
binance,CATIUSDT,2025-06-28,0.5032,0.5127
binance,CDTBTC,2020-10-31,0.5937,0.8947
binance,CELOBTC,2025-09-20,0.556,0.75
binance,CELOUSDT,2025-07-05,0.5075,0.4206
binance,CELRBTC,2024-11-13,0.5625,0.3333
binance,CETUSUSDT,2025-07-02,0.5256,0.3126
binance,CFGUSDT,2026-03-16,2.48,0.8718
binance,CHATBTC,2018-02-21,0.5233,1.784
binance,CHESSBTC,2023-12-06,0.553,0.475
binance,CHESSUSDT,2025-04-07,0.8634,0.4293
binance,CHIPUSDT,2026-04-21,10.7242,0.6668
binance,CHRBTC,2025-05-07,0.5119,0.8372
binance,CHRUSDT,2026-03-22,0.5493,0.6667
binance,CHZBTC,2025-12-17,0.5294,0.3333
binance,CITYBTC,2023-03-23,0.5216,0.6478
binance,CITYUSDT,2025-07-25,0.5136,0.468
binance,CKBBTC,2021-05-20,0.5111,0.6522
binance,CKBUSDT,2025-07-02,1.2804,0.3586
binance,CLOAKBTC,2018-06-29,0.5067,1.1978
binance,CLVBTC,2024-02-26,0.7227,0.6279
binance,CLVUSDT,2024-02-26,1.4546,0.5753
binance,CMTBTC,2020-01-31,0.616,0.4805
binance,CNDBTC,2021-03-09,1.2973,0.375
binance,COCOSBTC,2019-10-05,0.5455,0.3333
binance,COCOSUSDT,2022-05-30,0.5271,1.2
binance,COMBOUSDT,2024-05-19,0.621,0.7974
binance,COMPBTC,2025-03-14,0.899,0.9461
binance,COMPUSDT,2025-05-31,0.568,0.5535
binance,COOKIEUSDT,2025-05-15,1.0644,0.7847
binance,COSBTC,2024-01-11,0.7059,0.9167
binance,COSUSDT,2025-12-19,0.5138,0.6397
binance,COTIBTC,2025-10-22,1.0,0.5806
binance,COTIUSDT,2025-10-22,0.9282,0.5666
binance,CREAMUSDT,2024-04-29,0.668,0.4424
binance,CTKBTC,2025-06-13,0.552,0.7174
binance,CTKUSDT,2025-06-13,0.5595,0.6673
binance,CTSIBTC,2025-07-29,0.7458,0.4091
binance,CTSIUSDT,2025-07-05,0.5416,0.4869
binance,CTXCBTC,2024-07-06,0.5,1.0545
binance,CTXCUSDT,2024-07-05,0.5229,0.8018
binance,CVCBTC,2022-07-28,0.8246,0.7002
binance,CVCUSDT,2025-10-31,0.548,1.2208
binance,CVPUSDT,2023-09-01,0.5348,0.6607
binance,CVXUSDT,2025-06-29,1.2134,0.3859
binance,CYBERBTC,2025-06-23,0.5271,0.7639
binance,CYBERUSDT,2025-06-23,0.7313,0.5894
binance,DUSDT,2025-06-23,1.0488,0.7222
binance,DARBTC,2024-02-08,0.868,0.447
binance,DASHBTC,2025-09-14,0.5071,0.6378
binance,DASHUSDT,2025-09-14,0.5391,0.5432
binance,DATAUSDT,2025-06-06,0.521,0.8282
binance,DCRBTC,2023-12-15,0.7898,0.8669
binance,DCRUSDT,2025-09-26,0.5123,1.0873
binance,DEGOBTC,2023-12-08,1.9842,0.5356
binance,DENTBTC,2018-10-12,0.5806,0.3333
binance,DENTUSDT,2025-06-23,0.5165,0.3346
binance,DEXEUSDT,2025-09-03,0.7593,0.4396
binance,DFUSDT,2025-03-02,0.5489,1.2567
binance,DGBBTC,2024-02-08,0.5556,0.7
binance,DGBUSDT,2025-10-19,0.8462,0.4382
binance,DGDBTC,2019-04-04,0.8213,0.533
binance,DIAUSDT,2025-07-04,2.1617,0.4223
binance,DLTBTC,2020-11-06,0.9159,1.2449
binance,DNTBTC,2022-03-17,1.6163,0.6835
binance,DNTUSDT,2022-03-17,1.9701,0.6544
binance,DOCKBTC,2023-10-10,0.5577,1.1724
binance,DOCKUSDT,2023-10-06,0.5297,1.0794
binance,DODOBTC,2025-11-08,0.5517,1.0
binance,DODOUSDT,2025-07-02,0.5042,0.3571
binance,DOGSUSDT,2026-02-19,0.5357,0.72
binance,DOLOUSDT,2025-08-27,0.8595,1.1896
binance,DOTDOWNUSDT,2021-11-30,1.2914,0.9923
binance,DOTUPUSDT,2021-12-14,0.5471,0.9994
binance,DREPBTC,2023-05-02,0.52,1.1797
binance,DREPUSDT,2023-05-07,0.5111,1.2282
binance,DUSKBTC,2025-07-05,0.6087,0.5
binance,DYMBTC,2024-02-06,40.6667,0.4248
binance,DYMUSDT,2025-06-23,0.5686,0.4138
binance,EASYBTC,2021-02-19,1.042,1.0875
binance,EDENUSDT,2025-09-30,8.34,1.0133
binance,EDOBTC,2019-09-05,0.7082,0.647
binance,EDUBTC,2024-03-05,0.5305,0.6047
binance,EDUUSDT,2025-08-08,0.5566,0.8184
binance,EIGENUSDT,2025-08-02,0.5168,0.7316
binance,ELFBTC,2024-07-06,0.5144,0.9021
binance,ELFUSDT,2024-11-07,1.3796,0.4821
binance,ENABTC,2025-06-23,0.5254,0.6855
binance,ENAUSDT,2025-06-23,0.638,0.4437
binance,ENGBTC,2019-09-29,0.6728,1.0004
binance,ENJBTC,2025-04-03,0.5281,0.8723
binance,ENJUSDT,2026-02-28,0.5821,0.5945
binance,ENSOUSDT,2025-10-19,0.5095,1.8457
binance,EOSUSDT,2024-10-29,0.5525,0.3669
binance,EOSBEARUSDT,2020-02-12,1.9818,0.3798
binance,EOSBULLUSDT,2020-02-12,3.7883,1.2259
binance,EOSDOWNUSDT,2021-01-07,0.8549,0.8064
binance,EOSUPUSDT,2020-12-24,1.8225,1.1126
binance,EPICUSDT,2025-06-30,2.3326,0.5103
binance,EPSBTC,2021-05-23,0.6193,1.1962
binance,EPSUSDT,2021-05-23,0.6037,1.2073
binance,EPXUSDT,2024-01-28,0.6126,0.6648
binance,ERAUSDT,2025-07-17,9.2805,0.6125
binance,ERDBTC,2019-09-12,0.5294,1.0
binance,ERDUSDT,2019-09-17,0.5153,1.3869
binance,ERNUSDT,2024-03-11,0.7265,0.7428
binance,ESPUSDT,2026-02-12,7.1924,0.5461
binance,ETHBEARUSDT,2020-02-13,0.6462,0.7457
binance,ETHBULLUSDT,2020-01-17,3.4897,0.9534
binance,ETHDOWNUSDT,2023-03-02,0.6372,1.4356
binance,ETHFIBTC,2024-03-22,1.1501,0.7212
binance,ETHFIUSDT,2025-06-23,0.5209,0.3616
binance,ETHUPUSDT,2023-03-10,0.6585,0.3963
binance,EULUSDT,2025-10-13,0.577,1.0572
binance,EVXBTC,2020-12-28,3.1058,1.0735
binance,EZBTC,2021-09-15,0.8344,1.0404
binance,FUSDT,2025-12-15,0.532,1.0168
binance,FARMBTC,2023-10-25,0.7459,0.7407
binance,FARMUSDT,2025-05-30,0.5005,1.2566
binance,FETBTC,2025-10-20,0.6754,0.6409
binance,FETUSDT,2025-10-20,0.5874,0.7011
binance,FFUSDT,2025-09-29,10.6,0.9204
binance,FIDABTC,2025-05-07,0.7727,0.7451
binance,FIDAUSDT,2025-06-22,0.5776,0.4478
binance,FILBTC,2025-10-20,1.7429,0.3982
binance,FILUSDT,2025-10-20,1.5917,0.416
binance,FILDOWNUSDT,2021-02-15,0.7778,1.4218
binance,FILUPUSDT,2021-01-13,0.5545,1.2084
binance,FIOBTC,2024-08-08,0.5,0.5882
binance,FIOUSDT,2025-07-05,0.5911,0.429
binance,FIROBTC,2024-03-19,0.5135,1.0499
binance,FIROUSDT,2024-04-19,0.5601,1.0285
binance,FISBTC,2024-12-18,0.5307,0.875
binance,FISUSDT,2024-12-20,0.5828,0.8664
binance,FLOWUSDT,2026-02-20,1.0989,0.4537
binance,FLUXBTC,2025-10-21,1.5641,0.623
binance,FOGOUSDT,2026-01-15,1.7737,1.1137
binance,FORBTC,2023-12-07,0.9792,0.7021
binance,FORUSDT,2023-12-07,1.0164,0.7319
binance,FORMUSDT,2025-06-23,0.5602,0.336
binance,FORTHBTC,2025-02-03,0.689,0.9439
binance,FORTHUSDT,2025-04-02,1.3779,0.982
binance,FRAXUSDT,2026-01-15,0.9384,1.106
binance,FRONTBTC,2023-08-30,1.1543,0.6715
binance,FRONTUSDT,2023-08-30,1.0765,0.7101
binance,FTMUSDT,2024-02-15,0.8244,0.3452
binance,FTTUSDT,2025-07-01,0.6303,0.4262
binance,FUELBTC,2019-08-22,2.875,0.7536
binance,FUNBTC,2020-12-14,3.1429,1.0455
binance,FUNUSDT,2025-05-04,0.5219,1.1571
binance,GUSDT,2026-01-13,0.5217,1.3375
binance,GALBTC,2023-12-08,0.6045,0.3798
binance,GALUSDT,2023-11-22,0.5198,0.4849
binance,GALAUSDT,2025-07-05,0.5119,0.5268
binance,GFTUSDT,2023-12-05,0.5525,1.0196
binance,GHSTUSDT,2025-03-11,0.8865,0.4048
binance,GIGGLEUSDT,2025-10-25,3.5311,1.0382
binance,GLMUSDT,2025-07-02,0.5345,0.3902
binance,GLMRBTC,2025-11-04,0.5161,0.9375
binance,GLMRUSDT,2025-11-21,0.5052,0.8571
binance,GMTBTC,2024-12-17,0.5057,1.2045
binance,GMTUSDT,2025-12-23,0.7289,0.5199
binance,GMXBTC,2024-08-06,0.5335,0.6382
binance,GMXUSDT,2025-07-22,2.2189,0.8669
binance,GNOUSDT,2025-09-11,0.5215,0.8893
binance,GNSBTC,2023-12-17,0.5246,0.4705
binance,GNSUSDT,2025-06-04,1.2689,0.6755
binance,GNTBTC,2020-01-11,0.5294,0.7167
binance,GOBTC,2021-07-27,0.5714,0.4375
binance,GPSUSDT,2025-05-31,0.5665,0.8783
binance,GRSBTC,2021-08-18,0.5205,0.6293
binance,GTCBTC,2024-02-18,0.5822,0.6811
binance,GTCUSDT,2025-07-05,0.5561,0.4516
binance,GTOBTC,2021-11-29,1.1359,0.9231
binance,GTOUSDT,2021-11-29,1.1287,1.0757
binance,GUNUSDT,2025-06-18,0.6099,0.4685
binance,GVTBTC,2020-12-17,0.58,1.503
binance,GXSBTC,2021-04-26,1.2173,0.6734
binance,GXSUSDT,2021-04-26,1.5304,0.7298
binance,HAEDALUSDT,2025-05-21,1.195,0.8872
binance,HARDUSDT,2024-07-03,0.5719,0.98
binance,HCUSDT,2019-12-28,0.6145,0.4763
binance,HEIBTC,2025-02-13,1.1506,1.2728
binance,HEIUSDT,2025-07-01,0.5288,0.4632
binance,HEMIUSDT,2025-11-23,0.5101,1.5941
binance,HFTBTC,2025-06-14,2.0,0.3529
binance,HIFIUSDT,2024-11-04,0.5041,0.6531
binance,HIGHUSDT,2025-10-29,0.5169,1.3595
binance,HIVEUSDT,2026-04-17,0.5987,0.8405
binance,HMSTRUSDT,2025-06-29,0.6148,0.5816
binance,HNTBTC,2021-10-16,0.5232,0.3804
binance,HNTUSDT,2021-10-15,0.5924,0.3177
binance,HOLOUSDT,2025-09-11,8.8864,0.8588
binance,HOMEUSDT,2025-06-26,0.5413,0.518
binance,HOOKBTC,2023-12-09,0.5121,0.7972
binance,HOOKUSDT,2025-04-11,0.5164,0.6214
binance,HOTBTC,2020-01-31,0.6667,0.5
binance,HOTUSDT,2025-07-02,0.6667,0.3056
binance,HSRBTC,2017-08-19,1.5313,1.3012
binance,HUMAUSDT,2025-05-26,9.6,0.7195
binance,HYPERUSDT,2025-06-23,6.4423,0.3768
binance,ICNBTC,2017-10-23,0.6107,1.4867
binance,ICPBTC,2025-10-17,1.2621,0.3989
binance,ICPUSDT,2025-10-17,1.1035,0.4084
binance,IDBTC,2025-02-05,0.5038,0.7652
binance,IDUSDT,2025-12-23,0.7015,0.6047
binance,IDEXBTC,2024-03-15,0.562,0.9412
binance,IDEXUSDT,2025-04-04,0.585,0.715
binance,ILVBTC,2025-07-07,0.5213,0.3469
binance,IMXBTC,2025-04-07,0.5061,0.46
binance,INITUSDT,2025-06-23,0.5015,0.5437
binance,INJBTC,2026-04-25,0.6967,0.3711
binance,INJUSDT,2026-04-25,0.7819,0.373
binance,INSBTC,2020-03-13,0.6338,0.8049
binance,IOBTC,2025-04-20,0.5936,0.6868
binance,IOUSDT,2025-09-05,0.5599,0.9228
binance,IOSTBTC,2023-12-06,0.5455,1.0
binance,IOSTUSDT,2025-07-02,0.7266,0.4876
binance,IOTABTC,2025-12-22,0.5152,0.7451
binance,IOTXBTC,2024-11-15,0.6279,0.3333
binance,IQUSDT,2025-09-26,0.5018,1.3616
binance,IRISBTC,2024-07-07,0.6522,0.7333
binance,IRISUSDT,2024-07-08,0.9793,0.5605
binance,JASMYBTC,2022-10-24,0.5,1.0909
binance,JOEUSDT,2026-03-21,1.0025,0.7342
binance,JSTBTC,2026-01-19,0.5952,0.36
binance,JUPUSDT,2025-07-05,0.5866,0.5857
binance,JUVBTC,2022-02-25,0.524,0.7709
binance,JUVUSDT,2025-07-23,0.8196,0.5258
binance,KAITOBTC,2025-02-20,31.7885,0.5357
binance,KAITOUSDT,2025-08-26,0.5495,0.6859
binance,KATUSDT,2026-03-18,2.968,0.7581
binance,KAVABTC,2025-10-23,0.5317,0.7761
binance,KAVAUSDT,2025-10-31,0.5637,1.0374
binance,KEEPBTC,2021-06-17,1.1692,1.3902
binance,KEEPUSDT,2021-06-17,1.0052,1.5464
binance,KERNELUSDT,2025-05-17,0.5299,1.2393
binance,KEYBTC,2019-06-23,0.5517,1.5
binance,KEYUSDT,2024-01-27,0.8143,0.4826
binance,KITEUSDT,2025-11-03,3.4433,0.6244
binance,KLAYBTC,2023-11-05,0.5477,0.3624
binance,KLAYUSDT,2023-11-05,0.6547,0.3022
binance,KMDBTC,2024-11-01,0.5225,1.3046
binance,KMDUSDT,2024-10-30,0.7861,0.8227
binance,KMNOUSDT,2025-08-31,0.8257,0.4282
binance,KNCBTC,2025-06-24,1.2172,0.6459
binance,KNCUSDT,2025-06-24,1.4738,0.5785
binance,KP3RUSDT,2023-11-08,1.066,0.7969
binance,KSMBTC,2025-05-04,0.5384,0.8385
binance,KSMUSDT,2025-10-21,0.6074,0.7866
binance,LAUSDT,2025-07-09,0.765,1.2134
binance,LAYERBTC,2025-02-11,23.1748,0.9066
binance,LAYERUSDT,2025-10-31,0.5439,1.3782
binance,LAZIOBTC,2023-12-02,0.7276,1.024
binance,LAZIOUSDT,2025-09-26,0.538,0.9148
binance,LENDBTC,2019-10-14,1.791,0.475
binance,LENDUSDT,2020-05-24,0.8054,0.4524
binance,LINABTC,2024-05-17,0.75,0.6667
binance,LINAUSDT,2024-05-15,0.5018,0.3488
binance,LINEAUSDT,2025-09-10,7.706,0.5331
binance,LINKUSDT,2025-07-05,0.541,0.3329
binance,LINKUPUSDT,2022-05-13,0.6166,1.1269
binance,LISTAUSDT,2025-05-15,0.5349,1.0915
binance,LITBTC,2024-02-12,0.6811,0.8856
binance,LITUSDT,2024-02-12,0.7821,0.497
binance,LOKABTC,2024-08-03,0.6834,0.774
binance,LOKAUSDT,2024-08-03,0.6248,0.752
binance,LOOMBTC,2023-09-05,2.2215,0.4079
binance,LOOMUSDT,2023-09-05,2.2902,0.4098
binance,LPTBTC,2025-05-15,1.2714,0.8037
binance,LPTUSDT,2025-05-15,1.3288,0.7921
binance,LQTYBTC,2024-03-28,0.5411,1.4653
binance,LQTYUSDT,2025-05-31,0.6926,0.6421
binance,LRCBTC,2025-08-15,0.5139,0.4324
binance,LRCUSDT,2025-07-05,0.5407,0.5357
binance,LSKBTC,2025-06-26,0.5201,0.9006
binance,LSKUSDT,2025-06-27,0.511,0.6022
binance,LTCDOWNUSDT,2021-02-14,0.9502,1.2769
binance,LTCUPUSDT,2021-01-28,2.1351,0.3006
binance,LTOBTC,2024-11-12,0.507,0.375
binance,LTOUSDT,2024-10-31,0.5226,0.5213
binance,LUMIAUSDT,2025-06-23,1.1756,0.6432
binance,LUNBTC,2019-08-10,0.6622,0.7845
binance,LUNABTC,2021-05-24,0.7134,0.6332
binance,LUNAUSDT,2025-11-18,1.1462,0.7267
binance,LUNCUSDT,2025-11-18,1.5878,0.6234
binance,MAGICBTC,2025-06-14,0.5315,0.9322
binance,MAGICUSDT,2025-06-06,0.5129,0.8052
binance,MANTABTC,2025-05-05,0.5045,0.7054
binance,MANTAUSDT,2025-07-05,0.5056,0.5714
binance,MANTRAUSDT,2026-03-04,0.6169,1.4545
binance,MATICBTC,2023-10-28,0.5042,0.4033
binance,MAVBTC,2025-06-13,0.8958,1.0465
binance,MAVUSDT,2025-06-13,0.9088,1.0373
binance,MBLBTC,2020-05-09,1.3571,0.7368
binance,MBLUSDT,2025-09-21,0.8778,1.3254
binance,MBOXBTC,2024-08-17,0.5535,0.7227
binance,MBOXUSDT,2025-06-22,0.5385,0.5402
binance,MCBTC,2023-07-12,0.5008,0.8738
binance,MCUSDT,2023-01-09,0.6364,0.4914
binance,MCOUSDT,2019-12-19,0.8124,0.9059
binance,MDABTC,2021-11-05,0.7632,1.0794
binance,MDTBTC,2024-11-26,0.5179,0.5517
binance,MDTUSDT,2025-06-24,0.6305,0.7561
binance,MDXBTC,2023-11-24,0.5476,0.7717
binance,MDXUSDT,2023-11-24,0.7261,0.5921
binance,MEBTC,2024-12-10,26.1981,0.6927
binance,MEUSDT,2025-09-05,0.5161,0.8249
binance,MEGAUSDT,2026-04-30,5.9811,0.8448
binance,MEMEUSDT,2025-07-02,0.511,0.3356
binance,METUSDT,2026-04-04,0.8971,0.5856
binance,METISBTC,2024-03-11,0.7169,0.8735
binance,METISUSDT,2025-11-05,0.587,1.158
binance,MFTBTC,2019-08-16,0.5556,1.0
binance,MFTUSDT,2022-01-23,0.557,0.4927
binance,MINABTC,2025-10-20,1.0297,0.3846
binance,MINAUSDT,2025-10-17,0.5374,0.9607
binance,MIRBTC,2022-02-16,1.112,0.699
binance,MIRUSDT,2022-02-16,0.878,0.8418
binance,MIRAUSDT,2025-09-26,8.2,0.9651
binance,MITHBTC,2021-12-15,0.5304,0.8361
binance,MITHUSDT,2022-03-11,0.6741,0.382
binance,MITOUSDT,2025-08-29,1.656,0.6884
binance,MKRBTC,2024-11-16,0.6516,0.4224
binance,MKRUSDT,2024-10-26,0.5607,0.4027
binance,MLNBTC,2024-03-08,0.5603,0.9508
binance,MLNUSDT,2025-06-24,0.6,0.8874
binance,MMTUSDT,2025-11-04,43.754,0.9612
binance,MOBBTC,2024-01-10,0.5403,1.1119
binance,MOBUSDT,2023-06-18,0.5103,0.8007
binance,MODBTC,2018-03-06,0.5556,0.8781
binance,MORPHOUSDT,2025-10-11,0.6495,0.4796
