source,regime,timestep,avg_pump_score
real,pumps,1,15.5616
real,pumps,2,11.881
real,pumps,3,7.2788
real,pumps,4,9.1589
real,pumps,5,12.6501
real,pumps,6,10.0756
real,pumps,7,6.9758
real,pumps,8,9.0611
real,pumps,9,12.1128
real,pumps,10,9.9494
real,pumps,11,7.0137
real,pumps,12,9.0867
real,pumps,13,11.9456
real,pumps,14,9.7857
real,pumps,15,7.0262
real,pumps,16,9.0502
real,pumps,17,11.6544
real,pumps,18,9.665
real,pumps,19,7.0498
real,pumps,20,9.003
real,pumps,21,11.6257
real,pumps,22,9.6426
real,pumps,23,7.0206
real,pumps,24,9.0463
real,pumps,25,11.7182
real,pumps,26,9.7509
real,pumps,27,7.0308
real,pumps,28,9.0506
real,pumps,29,11.8528
real,pumps,30,9.7756
real,pumps,31,7.0285
real,pumps,32,9.1138
real,pumps,33,11.8261
real,pumps,34,9.8449
real,pumps,35,7.0011
real,pumps,36,9.068
real,pumps,37,11.3473
real,pumps,38,9.6703
real,pumps,39,7.0083
real,pumps,40,8.9304
real,pumps,41,11.4162
real,pumps,42,9.4735
real,pumps,43,7.0051
real,pumps,44,9.1177
real,pumps,45,11.3784
real,pumps,46,9.7562
real,pumps,47,7.0038
real,pumps,48,9.0483
real,pumps,49,11.4443
real,pumps,50,9.6116
real,pumps,51,6.9914
real,pumps,52,9.0069
real,pumps,53,11.2593
real,pumps,54,9.6901
real,pumps,55,7.0032
real,pumps,56,8.9843
real,pumps,57,11.3811
real,pumps,58,9.6538
real,pumps,59,6.9882
real,pumps,60,8.9845
real,pumps,61,11.2618
real,pumps,62,9.6236
real,pumps,63,7.0053
real,pumps,64,9.0026
real,pumps,65,11.52
real,pumps,66,9.7225
real,pumps,67,6.9968
real,pumps,68,8.9328
real,pumps,69,11.3853
real,pumps,70,9.6077
real,pumps,71,6.984
real,pumps,72,8.8791
real,pumps,73,10.9962
real,pumps,74,9.4434
real,pumps,75,6.9544
real,pumps,76,8.9646
real,pumps,77,11.137
real,pumps,78,9.5748
real,pumps,79,6.9884
real,pumps,80,8.9938
real,pumps,81,10.9994
real,pumps,82,9.6222
real,pumps,83,6.9986
real,pumps,84,8.9902
real,pumps,85,11.1021
real,pumps,86,9.6324
real,pumps,87,6.9923
real,pumps,88,8.9307
real,pumps,89,11.188
real,pumps,90,9.5021
real,pumps,91,7.0059
real,pumps,92,8.8935
real,pumps,93,11.0254
real,pumps,94,9.3877
real,pumps,95,7.0072
synthetic_direct,control,0,18.6614
synthetic_direct,control,1,11.7214
synthetic_direct,control,2,10.1919
synthetic_direct,control,3,11.5879
synthetic_direct,control,4,6.6589
synthetic_direct,control,5,8.022
synthetic_direct,control,6,11.2335
synthetic_direct,control,7,8.1537
synthetic_direct,control,8,9.4052
synthetic_direct,control,9,9.8379
synthetic_direct,control,10,12.2704
synthetic_direct,control,11,7.9297
synthetic_direct,control,12,10.6679
synthetic_direct,control,13,9.1544
synthetic_direct,control,14,11.0315
synthetic_direct,control,15,10.3524
synthetic_direct,control,16,11.3823
synthetic_direct,control,17,10.1681
synthetic_direct,control,18,10.7459
synthetic_direct,control,19,7.6639
synthetic_direct,control,20,8.747
synthetic_direct,control,21,10.0828
synthetic_direct,control,22,11.1523
synthetic_direct,control,23,10.0728
synthetic_direct,control,24,9.6528
synthetic_direct,control,25,17.2616
synthetic_direct,control,26,12.7023
synthetic_direct,control,27,8.6483
synthetic_direct,control,28,9.6532
synthetic_direct,control,29,10.3505
synthetic_direct,control,30,13.857
synthetic_direct,control,31,9.6818
synthetic_direct,control,32,11.1661
synthetic_direct,control,33,14.6581
synthetic_direct,control,34,16.9846
synthetic_direct,control,35,9.5939
synthetic_direct,control,36,12.0502
synthetic_direct,control,37,19.7041
synthetic_direct,control,38,18.0089
synthetic_direct,control,39,19.5576
synthetic_direct,control,40,15.8306
synthetic_direct,control,41,15.25
synthetic_direct,control,42,23.8075
synthetic_direct,control,43,13.7429
synthetic_direct,control,44,14.3201
synthetic_direct,control,45,16.4989
synthetic_direct,control,46,14.9274
synthetic_direct,control,47,12.7696
synthetic_direct,control,48,13.4909
synthetic_direct,control,49,16.7408
synthetic_direct,control,50,19.3561
synthetic_direct,control,51,9.1377
synthetic_direct,control,52,15.9767
synthetic_direct,control,53,14.125
synthetic_direct,control,54,18.955
synthetic_direct,control,55,13.9423
synthetic_direct,control,56,16.7371
synthetic_direct,control,57,16.7427
synthetic_direct,control,58,19.0767
synthetic_direct,control,59,9.1261
synthetic_direct,control,60,27.2877
synthetic_direct,control,61,16.9544
synthetic_direct,control,62,16.7119
synthetic_direct,control,63,10.3729
synthetic_direct,control,64,13.003
synthetic_direct,control,65,16.6589
synthetic_direct,control,66,14.3551
synthetic_direct,control,67,10.2309
synthetic_direct,control,68,10.9272
synthetic_direct,control,69,10.4948
synthetic_direct,control,70,14.0896
synthetic_direct,control,71,8.4838
synthetic_direct,control,72,10.2203
synthetic_direct,control,73,14.5765
synthetic_direct,control,74,11.6231
synthetic_direct,control,75,8.8814
synthetic_direct,control,76,9.4264
synthetic_direct,control,77,13.1004
synthetic_direct,control,78,13.9815
synthetic_direct,control,79,10.2261
synthetic_direct,control,80,11.2101
synthetic_direct,control,81,15.8961
synthetic_direct,control,82,12.5102
synthetic_direct,control,83,8.5854
synthetic_direct,control,84,11.1661
synthetic_direct,control,85,12.888
synthetic_direct,control,86,14.8172
synthetic_direct,control,87,10.1846
synthetic_direct,control,88,10.6525
synthetic_direct,control,89,21.246
synthetic_direct,control,90,11.6703
synthetic_direct,control,91,11.7381
synthetic_direct,control,92,11.1633
synthetic_direct,control,93,13.0587
synthetic_direct,control,94,15.3495
synthetic_direct,control,95,12.1736
synthetic_direct,pumps,0,18.6296
synthetic_direct,pumps,1,11.7559
synthetic_direct,pumps,2,10.1801
synthetic_direct,pumps,3,11.7615
synthetic_direct,pumps,4,6.6546
synthetic_direct,pumps,5,7.9583
synthetic_direct,pumps,6,11.3131
synthetic_direct,pumps,7,8.1034
synthetic_direct,pumps,8,9.48
synthetic_direct,pumps,9,9.8328
synthetic_direct,pumps,10,12.3082
synthetic_direct,pumps,11,7.841
synthetic_direct,pumps,12,10.5717
synthetic_direct,pumps,13,9.2751
synthetic_direct,pumps,14,10.9551
synthetic_direct,pumps,15,10.0856
synthetic_direct,pumps,16,10.942
synthetic_direct,pumps,17,10.3378
synthetic_direct,pumps,18,10.4979
synthetic_direct,pumps,19,7.7405
synthetic_direct,pumps,20,8.7409
synthetic_direct,pumps,21,10.0907
synthetic_direct,pumps,22,10.7191
synthetic_direct,pumps,23,10.022
synthetic_direct,pumps,24,9.6227
synthetic_direct,pumps,25,17.4051
synthetic_direct,pumps,26,12.7709
synthetic_direct,pumps,27,8.9212
synthetic_direct,pumps,28,10.034
synthetic_direct,pumps,29,10.5218
synthetic_direct,pumps,30,14.2261
synthetic_direct,pumps,31,10.0978
synthetic_direct,pumps,32,11.312
synthetic_direct,pumps,33,15.2785
synthetic_direct,pumps,34,16.6031
synthetic_direct,pumps,35,10.1412
synthetic_direct,pumps,36,12.6226
synthetic_direct,pumps,37,20.3005
synthetic_direct,pumps,38,18.2313
synthetic_direct,pumps,39,19.9819
synthetic_direct,pumps,40,16.315
synthetic_direct,pumps,41,15.6448
synthetic_direct,pumps,42,24.0129
synthetic_direct,pumps,43,14.2488
synthetic_direct,pumps,44,14.9479
synthetic_direct,pumps,45,16.6415
synthetic_direct,pumps,46,15.2867
synthetic_direct,pumps,47,13.3283
synthetic_direct,pumps,48,13.3378
synthetic_direct,pumps,49,17.3641
synthetic_direct,pumps,50,20.4124
synthetic_direct,pumps,51,9.6072
synthetic_direct,pumps,52,16.2828
synthetic_direct,pumps,53,14.4164
synthetic_direct,pumps,54,19.5721
synthetic_direct,pumps,55,14.575
synthetic_direct,pumps,56,16.7312
synthetic_direct,pumps,57,16.8226
synthetic_direct,pumps,58,19.2802
synthetic_direct,pumps,59,9.2942
synthetic_direct,pumps,60,27.8942
synthetic_direct,pumps,61,17.852
synthetic_direct,pumps,62,16.7127
synthetic_direct,pumps,63,10.6555
synthetic_direct,pumps,64,13.5866
synthetic_direct,pumps,65,17.0649
synthetic_direct,pumps,66,15.2304
synthetic_direct,pumps,67,11.0018
synthetic_direct,pumps,68,11.492
synthetic_direct,pumps,69,11.1267
synthetic_direct,pumps,70,14.785
synthetic_direct,pumps,71,8.6279
synthetic_direct,pumps,72,10.8083
synthetic_direct,pumps,73,14.8601
synthetic_direct,pumps,74,12.3758
synthetic_direct,pumps,75,9.2067
synthetic_direct,pumps,76,9.8106
synthetic_direct,pumps,77,13.4073
synthetic_direct,pumps,78,14.2229
synthetic_direct,pumps,79,10.0641
synthetic_direct,pumps,80,11.5686
synthetic_direct,pumps,81,15.4961
synthetic_direct,pumps,82,12.789
synthetic_direct,pumps,83,8.5522
synthetic_direct,pumps,84,11.4461
synthetic_direct,pumps,85,12.6741
synthetic_direct,pumps,86,15.02
synthetic_direct,pumps,87,10.1174
synthetic_direct,pumps,88,10.4635
synthetic_direct,pumps,89,21.1697
synthetic_direct,pumps,90,11.647
synthetic_direct,pumps,91,11.4991
synthetic_direct,pumps,92,10.8217
synthetic_direct,pumps,93,12.7821
synthetic_direct,pumps,94,15.1338
synthetic_direct,pumps,95,11.6482
synthetic_typeA,control,0,9.8011
synthetic_typeA,control,1,9.8136
synthetic_typeA,control,2,9.8739
synthetic_typeA,control,3,7.0443
synthetic_typeA,control,4,9.8737
synthetic_typeA,control,5,9.72
synthetic_typeA,control,6,9.8573
synthetic_typeA,control,7,6.9727
synthetic_typeA,control,8,9.8467
synthetic_typeA,control,9,9.6903
synthetic_typeA,control,10,9.9664
synthetic_typeA,control,11,7.0177
synthetic_typeA,control,12,9.9082
synthetic_typeA,control,13,9.8037
synthetic_typeA,control,14,9.8403
synthetic_typeA,control,15,6.9952
synthetic_typeA,control,16,9.8667
synthetic_typeA,control,17,9.8617
synthetic_typeA,control,18,9.9876
synthetic_typeA,control,19,6.9706
synthetic_typeA,control,20,9.6974
synthetic_typeA,control,21,9.7964
synthetic_typeA,control,22,9.9381
synthetic_typeA,control,23,6.9841
synthetic_typeA,control,24,9.8114
synthetic_typeA,control,25,9.7752
synthetic_typeA,control,26,9.9001
synthetic_typeA,control,27,6.98
synthetic_typeA,control,28,9.846
synthetic_typeA,control,29,9.7219
synthetic_typeA,control,30,9.8484
synthetic_typeA,control,31,7.0003
synthetic_typeA,control,32,9.8402
synthetic_typeA,control,33,9.7712
synthetic_typeA,control,34,9.8806
synthetic_typeA,control,35,7.0103
synthetic_typeA,control,36,9.7568
synthetic_typeA,control,37,9.7886
synthetic_typeA,control,38,9.8077
synthetic_typeA,control,39,6.9701
synthetic_typeA,control,40,9.7277
synthetic_typeA,control,41,9.7325
synthetic_typeA,control,42,9.9352
synthetic_typeA,control,43,7.0079
synthetic_typeA,control,44,9.7891
synthetic_typeA,control,45,9.7386
synthetic_typeA,control,46,9.8589
synthetic_typeA,control,47,7.0404
synthetic_typeA,control,48,9.7554
synthetic_typeA,control,49,9.8295
synthetic_typeA,control,50,9.8614
synthetic_typeA,control,51,7.0182
synthetic_typeA,control,52,9.7833
synthetic_typeA,control,53,9.771
synthetic_typeA,control,54,9.7834
synthetic_typeA,control,55,6.9946
synthetic_typeA,control,56,9.8959
synthetic_typeA,control,57,9.871
synthetic_typeA,control,58,9.7446
synthetic_typeA,control,59,7.0362
synthetic_typeA,control,60,9.859
synthetic_typeA,control,61,9.6456
synthetic_typeA,control,62,9.7859
synthetic_typeA,control,63,7.006
synthetic_typeA,control,64,9.785
synthetic_typeA,control,65,9.7559
synthetic_typeA,control,66,9.798
synthetic_typeA,control,67,7.0135
synthetic_typeA,control,68,9.7721
synthetic_typeA,control,69,9.8554
synthetic_typeA,control,70,9.8369
synthetic_typeA,control,71,6.9873
synthetic_typeA,control,72,9.8051
synthetic_typeA,control,73,9.8163
synthetic_typeA,control,74,9.8607
synthetic_typeA,control,75,6.9678
synthetic_typeA,control,76,9.9326
synthetic_typeA,control,77,9.7334
synthetic_typeA,control,78,9.9204
synthetic_typeA,control,79,6.9949
synthetic_typeA,control,80,9.6528
synthetic_typeA,control,81,9.7848
synthetic_typeA,control,82,9.8526
synthetic_typeA,control,83,7.0073
synthetic_typeA,control,84,9.8231
synthetic_typeA,control,85,9.7614
synthetic_typeA,control,86,9.9036
synthetic_typeA,control,87,6.9966
synthetic_typeA,control,88,9.7697
synthetic_typeA,control,89,9.6779
synthetic_typeA,control,90,9.8037
synthetic_typeA,control,91,6.9911
synthetic_typeA,control,92,9.8622
synthetic_typeA,control,93,9.7743
synthetic_typeA,control,94,9.7672
synthetic_typeA,control,95,6.9965
synthetic_typeA,pumps,0,9.8375
synthetic_typeA,pumps,1,9.7214
synthetic_typeA,pumps,2,9.7375
synthetic_typeA,pumps,3,6.9842
synthetic_typeA,pumps,4,9.8051
synthetic_typeA,pumps,5,9.6525
synthetic_typeA,pumps,6,9.8638
synthetic_typeA,pumps,7,6.9965
synthetic_typeA,pumps,8,9.8595
synthetic_typeA,pumps,9,9.7983
synthetic_typeA,pumps,10,9.896
synthetic_typeA,pumps,11,7.0024
synthetic_typeA,pumps,12,9.7578
synthetic_typeA,pumps,13,9.7124
synthetic_typeA,pumps,14,9.7581
synthetic_typeA,pumps,15,7.031
synthetic_typeA,pumps,16,9.7812
synthetic_typeA,pumps,17,9.6956
synthetic_typeA,pumps,18,9.8509
synthetic_typeA,pumps,19,7.056
synthetic_typeA,pumps,20,9.9037
synthetic_typeA,pumps,21,9.7647
synthetic_typeA,pumps,22,9.9346
synthetic_typeA,pumps,23,7.0297
synthetic_typeA,pumps,24,9.8981
synthetic_typeA,pumps,25,9.7721
synthetic_typeA,pumps,26,9.8581
synthetic_typeA,pumps,27,7.0044
synthetic_typeA,pumps,28,9.8281
synthetic_typeA,pumps,29,9.8659
synthetic_typeA,pumps,30,9.8571
synthetic_typeA,pumps,31,7.0195
synthetic_typeA,pumps,32,9.7665
synthetic_typeA,pumps,33,9.842
synthetic_typeA,pumps,34,9.9684
synthetic_typeA,pumps,35,7.0275
synthetic_typeA,pumps,36,9.7653
synthetic_typeA,pumps,37,9.85
synthetic_typeA,pumps,38,9.8145
synthetic_typeA,pumps,39,7.0025
synthetic_typeA,pumps,40,9.7414
synthetic_typeA,pumps,41,9.6956
synthetic_typeA,pumps,42,9.793
synthetic_typeA,pumps,43,7.0282
synthetic_typeA,pumps,44,9.8871
synthetic_typeA,pumps,45,9.6821
synthetic_typeA,pumps,46,9.816
synthetic_typeA,pumps,47,6.9986
synthetic_typeA,pumps,48,9.8979
synthetic_typeA,pumps,49,9.7672
synthetic_typeA,pumps,50,9.7801
synthetic_typeA,pumps,51,7.012
synthetic_typeA,pumps,52,9.8422
synthetic_typeA,pumps,53,9.8321
synthetic_typeA,pumps,54,9.7374
synthetic_typeA,pumps,55,6.9742
synthetic_typeA,pumps,56,9.9023
synthetic_typeA,pumps,57,9.8498
synthetic_typeA,pumps,58,9.8452
synthetic_typeA,pumps,59,7.0322
synthetic_typeA,pumps,60,9.9023
synthetic_typeA,pumps,61,9.7246
synthetic_typeA,pumps,62,9.7522
synthetic_typeA,pumps,63,6.9951
synthetic_typeA,pumps,64,9.8196
synthetic_typeA,pumps,65,9.7128
synthetic_typeA,pumps,66,9.8179
synthetic_typeA,pumps,67,7.0046
synthetic_typeA,pumps,68,9.7809
synthetic_typeA,pumps,69,9.8176
synthetic_typeA,pumps,70,9.8257
synthetic_typeA,pumps,71,7.0136
synthetic_typeA,pumps,72,9.7561
synthetic_typeA,pumps,73,9.7074
synthetic_typeA,pumps,74,9.8899
synthetic_typeA,pumps,75,6.9933
synthetic_typeA,pumps,76,9.8328
synthetic_typeA,pumps,77,9.7464
synthetic_typeA,pumps,78,9.8689
synthetic_typeA,pumps,79,7.0677
synthetic_typeA,pumps,80,9.761
synthetic_typeA,pumps,81,9.7059
synthetic_typeA,pumps,82,9.827
synthetic_typeA,pumps,83,6.9773
synthetic_typeA,pumps,84,9.8904
synthetic_typeA,pumps,85,9.7144
synthetic_typeA,pumps,86,9.7327
synthetic_typeA,pumps,87,6.9967
synthetic_typeA,pumps,88,9.8077
synthetic_typeA,pumps,89,9.7912
synthetic_typeA,pumps,90,9.8718
synthetic_typeA,pumps,91,7.0409
synthetic_typeA,pumps,92,9.919
synthetic_typeA,pumps,93,9.7265
synthetic_typeA,pumps,94,9.9076
synthetic_typeA,pumps,95,6.9666
